1000 889
356 138 696
591 162 -887
54 630 -625
286 493 -242
866 667 -479
654 979 737
580 212 -777
545 663 -106
15 547 37
428 263 653
436 7 286
722 673 724
658 177 -456
208 910 -134
1000 758 -72
391 45 -732
431 727 -42
933 390 654
819 357 -586
195 852 837
785 192 338
530 962 -572
662 361 -529
521 349 -151
487 897 -494
809 180 721
336 172 765
320 655 -657
621 572 -414
985 180 482
387 431 -42
273 717 12
657 303 -797
905 796 -327
67 270 715
616 688 -635
928 343 975
386 250 12
605 701 775
720 508 -463
202 220 -546
669 626 -526
861 189 -19
770 332 -757
200 963 637
28 529 602
455 323 662
646 399 171
627 36 -189
198 750 813
731 147 -180
480 208 -204
555 776 600
724 847 917
732 154 -765
606 46 -458
