9586 26818
8966 5591 105
6867 1941 -49
1896 7711 -369
5557 6890 330
6324 8770 376
707 3591 -469
8669 7862 -951
8230 5043 407
4718 3933 944
2773 3828 821
8916 661 412
727 4562 -266
7492 4368 -36
2141 157 924
9462 1735 -674
1760 890 87
7883 4354 -402
6679 605 443
3126 8496 -486
4340 2894 472
25 5597 106
6874 3564 -249
7950 4923 -295
3652 30 29
5212 1822 353
4076 6390 438
2461 5357 951
7632 4431 717
8914 6034 97
4357 3233 712
5585 8316 526
3297 8543 -25
8524 1967 -445
5678 5616 -517
8314 9445 -910
863 6136 754
692 1550 216
355 3213 926
2005 7323 -966
1150 4430 651
3600 8440 676
7864 1772 389
1561 8914 629
4450 7995 -761
17 7961 354
1129 5298 730
6933 9042 -548
4161 8011 -723
3949 1363 598
7972 5465 -777
6316 4979 430
9335 1147 955
6823 6003 -336
1844 5879 -602
71 7824 -651
4539 7581 564
191 66 -416
9146 1883 455
356 5747 -331
4307 365 -417
6067 6705 -673
838 3100 -695
5441 8923 972
4029 770 612
5108 69 -714
803 9209 700
1689 7789 -60
7039 7218 -919
75 3824 550
7439 7692 621
1224 4332 -728
3700 1636 565
553 9502 -680
6321 5695 708
9226 7051 -208
916 5742 897
3857 8339 -136
7205 3931 -469
2318 8109 -252
8847 5446 -608
5687 3884 295
3422 2650 -252
7708 1487 -273
2566 4111 852
340 6193 -349
348 8455 414
3525 7310 354
3731 2660 8
5488 41 170
4789 2112 230
2218 9405 239
6824 3945 722
3270 4938 800
1951 2982 -561
9072 7475 481
3359 1340 -380
6778 3521 -752
3861 1450 -152
5186 4110 -382
2918 2351 557
3288 2061 -388
3305 9330 108
6196 3234 410
171 2866 878
838 1470 -663
2209 7888 599
4960 2378 593
7615 8594 583
456 8247 797
79 1209 712
3323 1251 -76
3754 4060 -320
9505 2891 -446
3246 2046 -59
8028 5444 -687
3229 894 163
6903 6863 565
6881 6814 -534
5623 4925 -486
5843 5151 -267
4362 1633 -624
4700 4141 360
5160 6141 -255
7839 4950 -41
2479 761 -270
751 510 -229
1837 6892 687
4593 3491 41
7084 693 573
8782 46 -867
18 8060 -582
6233 5936 -86
2906 2793 721
3591 2190 -683
3173 9130 290
8776 6537 -997
6727 8897 -252
6420 29 675
3668 5566 368
481 8692 -720
2963 8669 -713
7302 5954 43
2488 7040 784
8001 6781 712
1064 5949 -274
6841 2759 -547
8593 4878 88
8482 732 924
8999 1434 -350
516 235 945
3519 5497 50
3405 4405 -169
1002 3487 -668
2756 730 -564
149 4817 -50
4394 6893 -472
9129 2655 -548
2734 7889 814
3525 2846 -72
6965 5282 -921
8336 2829 -766
5055 8303 -393
2102 2190 -382
9064 4358 -966
8632 2449 978
6147 9102 -288
816 7741 -674
1486 7135 739
2143 4015 46
2711 9536 560
6771 7931 -95
5344 543 -623
9190 3579 -975
6035 2544 20
8236 5310 -607
341 2280 -757
4746 6660 -262
6876 8427 723
18 3556 358
8681 4668 856
5152 6497 477
7933 5662 149
2729 6674 -931
8184 1268 -400
301 9197 -711
1846 9111 -395
8260 7585 862
513 8020 511
4471 2507 -823
5570 4795 -218
9448 6943 -60
2124 7920 -568
7332 8779 -744
1219 3762 -897
217 648 -959
33 3183 -828
9578 8009 -310
7829 6608 -57
2801 1023 444
3560 7684 -824
6091 1009 661
7441 1271 -670
1346 6708 -868
2570 3577 420
1390 7516 -591
5093 6143 175
3968 5935 -957
5346 26 -530
1043 3385 -459
6615 2888 -683
4825 6544 931
1540 9534 927
7148 7229 375
8045 7867 560
1063 5878 -416
8493 3963 -478
1890 8113 -943
4551 2086 42
5416 3618 -248
249 3228 -302
1916 8712 245
5302 5936 933
2990 4503 1000
925 7438 -90
5406 7027 957
2515 8265 68
6266 6376 -352
1868 8545 478
5540 446 770
3078 781 -687
4991 5592 -376
355 4502 645
7602 8364 -917
5246 1422 228
768 7649 222
2522 5959 292
158 1698 -355
4899 5422 -172
9380 8975 185
4942 5531 446
9082 92 -796
7650 5005 -160
7301 1132 -803
7417 8658 358
4915 7314 -5
8434 3207 -360
8372 4535 -27
5570 3609 842
149 6593 -668
9419 2327 -574
8613 3712 712
6897 1891 283
2774 1335 511
9520 3767 20
7803 336 809
1239 6253 132
1666 2079 400
942 2878 -236
7058 1850 -538
7425 3564 -482
1957 4023 -199
7389 3107 713
4583 6148 372
9496 5000 -284
7888 6504 -194
1144 7805 -189
4205 6590 -339
9531 8018 218
2040 7266 734
9264 1482 -69
8478 343 843
2193 2904 -961
5611 8709 -917
7729 9229 224
6282 4718 -531
428 854 -777
7709 701 -293
8636 7396 422
3124 3093 63
4296 4398 -970
9397 3592 873
1106 693 -332
5732 7917 398
2140 948 -91
7775 5804 465
811 4950 -146
4673 8243 -824
4077 4130 -782
4083 1716 597
8304 6219 1000
845 8431 295
8866 6211 -585
8624 40 24
5074 6810 304
3792 616 -891
6560 7253 659
1089 1332 -285
7687 3427 740
289 7885 -621
37 2572 -511
3594 2005 -212
2577 7314 52
6369 793 571
4849 6262 724
8518 4144 -771
6827 4248 -350
925 213 -633
4174 1528 314
307 8888 -336
5187 401 -563
1848 2065 761
2827 369 -536
8923 9496 766
4809 5403 334
962 706 106
8815 4020 -216
3402 8454 -997
8146 5730 343
1410 672 55
2237 9063 -433
1259 5667 290
596 2367 998
2181 4833 631
9176 6143 -967
4016 6697 -424
6976 2779 466
5242 8448 306
9395 8072 219
9089 56 371
5318 8279 -953
8105 7118 -304
195 3477 565
7065 1563 -224
7122 8226 670
3053 4237 -279
5010 8428 -220
1955 6317 535
7285 6168 196
4177 2553 805
8893 407 279
6556 7746 697
8935 3329 453
1274 4423 -191
9566 6055 649
7045 1599 -470
1286 1705 376
9312 890 -887
6189 3772 580
3065 1992 951
2981 7017 -380
609 1152 80
973 9522 -119
6267 2743 362
8413 737 -261
3576 7475 -656
693 4341 367
2654 5900 -921
2490 5331 -795
3331 3039 -539
6941 3788 870
6041 6357 -45
2244 1053 945
3407 6380 -661
913 4353 486
6220 5743 406
4241 5740 801
3652 5800 -226
6198 832 67
6702 8061 880
6945 7314 33
1255 9581 -116
2977 8507 359
7911 5971 50
5977 5737 383
178 9311 -462
3955 3323 814
3958 364 938
2917 3625 -215
2780 327 71
304 3600 287
8363 9347 903
9241 5105 -284
3789 5176 78
60 1042 -85
347 1718 369
5425 8297 445
3138 8880 919
3327 2975 -681
6098 4103 -364
4331 6611 -488
3142 9333 390
1244 7664 690
413 6700 -771
3312 58 -803
5265 41 -397
4199 5794 -679
4443 8018 -256
1354 676 263
7719 8165 759
5297 4757 721
7740 3953 -618
4271 9004 -548
8889 6143 759
6962 6799 499
5357 1872 -972
6232 8045 40
4535 5359 -223
5561 6050 69
5343 7843 -12
8881 6053 256
4697 9031 -710
9061 1194 326
7198 4341 889
8279 8566 -329
7241 4460 -244
239 7717 -225
6692 8364 601
2136 8210 -403
5152 240 228
7009 3404 487
8902 2303 540
1855 3818 266
5191 238 -362
6543 1145 939
4749 2031 -995
7100 238 633
9373 4142 395
435 3805 537
4732 5113 -277
8704 3757 -686
3431 212 -918
319 1800 645
5623 2661 -756
3764 1188 -462
67 1652 362
8990 456 453
2342 6881 103
8649 5882 444
1648 7876 -208
9354 6966 -42
4627 9539 400
5889 1129 -55
7639 3958 -841
6752 4498 302
8147 6277 543
2264 2838 -533
2105 7703 735
5919 7571 -812
8568 5092 615
1865 4083 -404
5438 4229 569
1626 1823 94
6071 940 -163
7123 903 240
5487 7702 586
1855 1945 -640
6499 2059 928
1021 7064 -6
1150 2366 -487
6973 6316 -981
8728 967 579
8111 1291 -382
3971 7747 -267
3371 4542 4
1389 998 -236
6646 2479 -569
353 8059 -880
8297 1074 260
508 2620 408
1431 3980 600
3079 7763 -839
3806 2831 -873
5479 789 -194
8407 1903 401
4158 593 652
2321 8027 694
6631 4574 -340
4246 5278 -145
8002 7775 -847
9038 31 546
9333 6960 36
2173 1346 -852
6810 263 -610
9253 1638 -369
1614 6015 910
3421 829 -119
7075 1844 567
7658 5510 -230
7942 9074 91
2548 2951 -445
4566 361 -398
5165 7938 616
3446 3588 156
1120 6766 499
542 4949 -12
3217 1226 -761
2829 4922 -822
9167 4938 687
714 8299 168
7335 2120 -296
7504 1845 -305
4435 7768 -30
4416 5950 -380
5970 7058 -981
2372 2105 -229
3382 3625 -692
9325 8192 479
4130 3949 -979
4439 324 -128
7573 8704 171
1644 841 -112
7221 1438 952
7627 3028 -471
6542 6162 -237
6648 8145 745
6666 8703 -46
791 3401 722
4315 4818 574
1811 4690 -14
7719 241 696
3233 7152 -669
1330 4744 -362
546 6135 974
7573 4914 -550
1527 8444 -25
1095 8642 355
6968 579 -654
2999 6873 -691
4632 1533 -240
4506 9504 -581
6032 509 -84
8571 7700 643
870 7523 3
5221 7944 969
8852 8820 458
7598 9458 755
2137 3645 526
3843 8127 466
7280 6960 753
5894 627 -749
3884 302 -733
2647 2895 -689
63 3034 -163
6122 3660 -543
3545 1337 -220
6622 4297 -776
8506 7075 366
5232 1180 659
1310 5808 646
8119 4673 348
5617 9016 587
484 6120 -783
161 7567 -902
7224 4564 -250
3270 2786 -684
929 921 -160
1727 4857 -474
7098 4858 -523
223 4908 -231
4232 3429 -549
5394 6984 -629
3043 3594 699
8972 9127 -639
50 4017 758
6392 7141 116
7228 916 -848
5458 5005 634
8004 4241 155
1286 2634 -519
8099 2894 179
7660 6609 382
1690 1717 603
144 8310 200
8700 8061 406
5387 4485 441
2792 2897 117
1531 9572 -81
1408 5046 -427
2453 4894 803
786 1837 -462
9060 7374 -159
7155 633 -520
4837 638 -632
7107 1403 626
8603 8465 -840
281 1506 -28
76 3513 325
1842 8417 395
6409 2668 -156
5886 3240 -312
5860 3378 -873
7448 2497 -983
7971 8121 155
5244 6072 320
9101 3373 69
6795 430 783
8069 484 -599
1378 4523 927
4492 6137 -77
7801 7359 -747
3098 4080 -80
5179 6516 -256
5922 3988 -109
252 2179 -490
695 2675 -718
3705 581 -870
4959 133 994
7985 5040 -143
726 1161 -501
1215 9021 985
5199 7581 -646
5009 9539 777
187 1760 -853
7828 72 -111
1669 3011 290
7893 3250 733
2467 9478 710
4463 792 -414
1056 9073 -350
7046 1178 -558
3241 7480 -771
8549 7435 789
4242 9280 -821
1791 2561 -795
6117 2983 322
8494 7723 539
8230 5328 797
1605 1462 -917
9460 1969 738
9096 2538 -643
506 3208 -412
8364 1737 -494
8891 6258 -463
40 201 506
8755 464 256
4965 9503 -497
5242 2337 318
9291 1364 578
2336 7012 274
7657 9319 671
2687 2341 -235
9164 2912 -906
4487 1963 174
2251 4039 -232
3752 8200 452
1767 837 -413
9567 1953 340
6885 2525 -705
3360 5226 -692
3359 4522 683
3465 1218 560
5975 7355 275
7837 5029 -556
3084 7665 -626
6882 387 -544
7472 5880 567
2313 1903 -202
2289 6579 610
3173 5613 -635
6205 6760 370
605 8646 811
6587 8878 816
1298 9155 -242
1000 2160 -368
4646 7034 313
3838 6135 207
9332 2184 39
6940 7 137
3284 6239 256
3903 778 325
4788 6466 -681
3168 6832 92
3801 8548 -500
1151 3441 -745
7000 7219 153
1490 5796 704
8377 3891 209
2544 5149 830
2576 5418 -54
1492 8550 133
7793 495 946
1331 3221 277
1936 8874 -367
4492 8311 735
9377 758 -187
9081 8456 -869
2979 1147 321
452 897 -337
5149 467 603
8732 5734 -826
272 7669 -50
7316 6381 -510
3419 8090 -473
9567 7223 365
1591 3494 732
6050 4935 -76
4797 3178 -379
4620 6470 269
5484 5110 -400
6605 1659 814
8358 4254 -627
666 7247 -697
5421 7076 -928
2425 7015 818
7517 6328 766
8616 61 860
8084 2172 -880
6183 6821 884
4790 6969 385
4789 9582 3
8564 7161 -930
8308 6111 -970
5496 4258 -663
9175 7929 87
3276 1954 247
8666 8980 30
8618 2976 -425
169 1381 37
5370 1506 253
9078 8810 -644
9580 3839 -872
523 2239 12
9537 3043 -176
933 5103 -437
2896 2958 223
6385 996 209
4837 4408 762
8184 9372 60
4992 671 -774
2353 3012 -585
6620 8670 -823
7113 6212 -536
3010 731 577
4969 2019 720
4104 813 -779
2800 6109 -232
6010 1234 690
7565 3354 473
7701 7833 -522
2869 5988 256
2053 4786 877
8466 6461 -542
8594 8334 -424
5839 8128 252
6567 3702 599
9575 2625 582
3290 1690 -521
1336 5023 406
1588 3825 633
7548 8320 -839
8386 6811 893
7058 2686 -646
8595 6052 -8
8596 3768 -551
5745 8260 345
2167 8079 735
563 4542 978
8999 2989 551
1730 775 613
4585 6634 163
2108 6784 -167
992 2419 -294
276 7195 987
5833 2193 18
719 5395 929
4801 6863 872
3997 3350 20
3477 298 666
7649 779 287
2022 9444 -597
2018 6132 -714
6564 2768 -59
247 6119 98
3433 6150 545
5391 1219 -503
8189 3944 -603
5134 8780 338
8439 5877 698
8901 7159 784
946 4018 965
1276 7499 -381
7940 708 819
9224 1780 965
9208 6526 672
5820 4828 -437
4546 3513 225
7269 5698 -326
368 4635 -869
4197 7574 824
8400 2200 -660
1474 7447 156
3348 3597 -246
2018 9240 -135
3535 1001 67
3346 2436 975
6037 7543 898
4996 935 982
3502 39 -819
8095 3684 241
6921 8029 53
4048 7180 -722
1136 5364 -612
7452 5580 557
1495 2413 108
669 7022 -520
2995 5523 -834
1984 212 70
2180 746 355
5850 2836 -572
7082 5217 300
1708 4815 602
7005 3990 -202
1825 7425 -916
5181 8378 137
6077 4855 -496
360 5995 -981
6719 1379 446
5351 5812 227
6505 2082 -763
3952 9316 -991
5896 3695 960
4988 5098 256
2237 1812 -653
2708 7158 503
2635 9489 -102
8854 155 -92
8337 3428 903
170 2435 599
6739 9299 -186
6920 3313 445
5148 9526 -14
1123 4586 -657
5095 1832 184
3470 2585 402
1628 2793 164
9054 5664 -535
7994 1482 -531
6596 3304 848
7707 3495 445
7945 6044 -464
6460 4402 561
4204 9271 -317
736 1 -940
4384 6165 -860
2744 8523 30
2391 8238 -37
6277 5292 682
3167 6286 574
5506 865 408
6682 2100 522
2175 5790 310
9370 5402 168
4667 9142 -648
6815 1592 882
6688 7017 -244
2284 8406 -639
8858 7564 -970
3659 2702 -325
49 54 392
7525 2838 -640
3219 1084 -458
2661 2857 229
7388 5079 405
1662 4076 274
8843 1411 -60
2816 8375 243
4419 2841 -555
6432 314 -104
3396 5629 127
7913 6581 523
5402 3651 -539
4387 6407 -102
164 8171 -825
9040 896 -665
342 5694 763
4658 7779 -29
2684 5632 -629
2378 4687 -867
3307 3903 573
9166 899 -602
1352 1181 632
9451 1360 286
173 8219 -474
2147 7394 650
652 2164 140
5724 3923 864
5754 3984 123
7281 1945 -668
2089 1711 754
6069 2694 323
404 6012 442
5864 7666 208
6064 2671 -906
913 3803 553
573 8833 -151
7046 2728 347
667 792 -792
4498 9503 -143
7474 3335 373
1306 4578 327
4733 3862 -808
99 3791 -102
1799 7028 232
1059 907 183
7025 6326 -343
2974 2284 308
235 1902 847
4703 7581 -839
1925 2629 957
9124 3106 -811
4231 5938 761
6330 6630 937
5570 916 -833
9501 6956 64
8323 205 105
8092 1102 161
8883 7818 -423
4654 2530 487
7998 4709 953
4437 365 -689
8180 5644 122
391 82 -201
3612 914 803
8178 6802 327
208 384 6
558 7404 -142
3431 6997 209
2406 4978 931
8260 3575 -751
1501 3813 675
1466 2350 -463
2876 5589 -315
3277 1524 717
461 9533 -400
1212 7068 413
5663 2439 -709
8701 4095 -768
7984 2659 536
1061 5282 -296
9384 6635 -647
2463 4044 -946
7221 3858 -999
4939 1715 777
7536 6777 -251
7497 2940 -348
6668 9155 159
4006 2341 565
2591 2932 469
4698 2435 -59
5758 3166 -531
7872 8056 -321
9550 6530 -886
8519 5444 -741
8811 2034 984
8849 8031 820
2094 9467 740
8418 651 855
4676 386 -14
4577 173 987
8435 3862 -541
3122 4843 -406
2103 8160 364
6354 820 -952
5935 6375 855
4722 5906 -357
7442 6667 -918
4692 6973 941
4971 9544 563
1698 2040 -131
93 1877 -981
4826 2454 495
4194 2021 -767
951 3808 -967
8851 8952 731
5426 1007 682
7319 6511 -130
2341 5700 310
875 2448 82
4003 1641 -705
225 8886 -989
4898 2682 -361
2249 6717 131
458 1310 669
5992 312 -103
9105 8749 -298
3272 234 593
672 7646 664
2779 7535 850
4554 1896 51
2692 1048 978
1005 1782 -311
7497 7752 738
7588 6066 -406
3156 6893 657
695 5859 31
4475 8262 907
9085 1478 -76
8074 1517 -643
4114 6612 631
7214 4438 615
6704 7205 116
440 1877 -292
7402 2268 858
9251 7262 389
3943 1091 419
2629 7419 -111
5703 5619 571
8244 8427 -900
6271 201 -404
427 8865 -700
1058 3581 -301
244 3610 -983
4210 4377 735
4835 845 -863
6939 4648 831
5031 5601 -119
2696 1773 -628
98 4043 137
8830 671 165
106 6172 332
9153 8650 -548
8349 4591 510
3434 7321 90
2459 6316 678
2071 7955 301
5678 8012 723
6783 2167 -211
6475 4254 732
2740 4625 -373
1333 7193 -754
1770 4390 891
8679 2423 -263
5829 9463 449
7517 4681 -944
9172 2606 965
5663 883 122
1323 6634 919
5615 4254 210
6112 8603 36
8485 4017 972
4811 4609 -905
1567 3745 569
5267 57 368
318 1882 930
1032 8360 -284
7201 6303 -149
2351 357 313
3484 3017 132
884 8373 257
5731 8497 -220
3984 3095 -639
3861 3310 -267
4735 6127 -939
8599 4437 179
8025 1294 -563
4627 5142 500
2100 9510 -648
2572 4876 409
2310 2493 797
461 3084 338
258 4622 -102
3508 6601 -172
5786 2471 -913
3758 6491 -555
6793 7049 891
2843 3738 876
9146 4292 996
3837 3 769
5791 6689 -68
5791 6375 -24
127 991 92
6891 8624 -468
8297 6535 829
8600 708 486
5224 1272 635
9060 7299 -676
262 878 -676
5004 1049 -625
2738 9413 335
7096 1352 -455
269 9287 762
4100 8353 -26
3568 1456 699
1466 7462 -482
4660 8315 508
7022 2977 469
8929 1305 171
1377 9308 -279
4557 2254 -2
7044 5105 500
19 5339 -652
6680 9504 -512
1803 4073 805
1868 9528 644
577 4529 35
8641 6022 -412
4099 8296 -438
4276 1460 -512
9318 2231 231
9108 5043 -140
7639 2235 428
7392 3453 -237
3707 1840 -83
2186 5438 -565
1092 7761 -89
1830 8915 -480
6104 267 387
6080 1292 781
2199 4036 436
786 5569 149
5009 7749 447
3089 2068 898
1525 8229 194
3683 2512 685
6489 8393 107
8622 5684 -720
6546 8520 329
4769 828 619
5444 1143 704
1355 7999 482
2787 1609 244
5888 7575 527
5222 3382 -734
569 739 223
1556 3571 -287
3011 835 457
3988 4502 -642
9425 8062 84
4300 8600 512
257 1468 12
1606 1739 -825
7904 7427 -397
7799 1749 431
9314 6687 -301
5057 227 797
1350 2985 268
7717 9311 782
7879 1402 -273
6974 1772 133
2696 3257 760
3393 4820 313
6715 178 527
9360 3894 805
2383 2847 523
5729 3288 -475
1676 4359 -268
4329 5705 918
1171 7640 803
622 6404 307
6896 7605 -287
4457 7343 263
109 9096 -81
8551 1653 192
9281 6681 -18
2649 3338 52
5002 9268 -373
8579 6281 945
5168 67 -889
8525 7234 -744
5936 6628 -290
8027 5703 689
3235 9528 -720
8175 8751 -524
5878 1584 667
1304 8047 -15
437 4206 -191
639 5715 569
6115 8164 -962
8145 3478 -153
8100 3083 -171
8714 4254 -213
3487 4618 -397
1666 2013 -302
3015 7982 814
5324 1001 -441
5558 6472 810
2161 3826 -297
7881 5410 -976
3390 9005 162
1772 838 -54
1057 3691 -94
6454 8142 -831
1180 8830 370
700 8949 -496
7315 882 319
4579 8945 621
2472 7124 -755
1814 6479 -126
8915 2056 207
8693 4033 816
2193 4884 589
204 2948 422
9178 1288 617
2589 9236 -198
3406 7267 101
7811 7853 231
729 721 -299
6476 8299 607
9343 7887 892
5628 1470 315
7656 6423 383
4338 4269 -651
3759 1557 42
6969 8473 555
6597 2236 67
4367 3745 354
3896 614 99
3128 7109 -771
6187 6657 723
7668 4597 -226
544 1996 981
1273 2700 790
2395 5553 835
6769 3005 149
9397 8917 -910
8839 3125 713
2350 6365 -873
618 9293 58
404 2014 -520
4676 6595 848
7314 4390 -93
166 3205 85
2189 4006 628
3831 5941 454
8790 5548 851
3278 1194 -150
2357 6747 -773
4228 2008 -626
2072 8523 598
6534 7425 668
353 2737 -447
2220 5435 56
3469 3993 339
7594 1376 578
393 8109 -774
1490 7350 -49
997 2144 568
5339 8554 676
802 596 403
3383 3387 734
5484 48 -433
7994 606 722
7012 6332 -756
3638 9463 692
1988 7631 447
1468 1043 -460
4450 1441 -543
7765 7210 -505
842 2960 -513
2037 8825 885
7931 4014 985
9400 956 722
573 6645 786
7727 2494 -8
9233 450 259
9399 2959 -131
3452 5565 232
3155 3945 -667
4651 5972 -448
4670 5443 678
3046 6460 645
5220 7644 -318
3583 1893 -352
4487 3650 -39
1633 3841 -660
3652 4231 829
6933 8578 -711
7417 252 842
3834 3549 128
2595 780 584
5063 204 -36
5534 9230 -211
6632 6868 -850
1753 9070 773
1759 4190 -700
3740 7529 -370
8776 1408 -274
907 2136 -986
2385 7417 373
7440 3927 -788
983 4609 26
9471 4105 979
2786 9381 380
4079 1930 -896
3253 5045 -947
